,method,with Synthetic Data,Train set size,Test set size,order,f1_score_weighted,accuracy_score,accuracy at 1,accuracy at 10,accuracy at 2,accuracy at 3,accuracy at 4,accuracy at 5,accuracy at 6,accuracy at 7,accuracy at 8,accuracy at 9,target-source domain proportion
0,KNeighborsClassifier,0.0,956.0,239.0,,0.1292399477251899,0.2510460251046025,0.251,0.586,0.377,0.402,0.444,0.469,0.494,0.519,0.54,0.577,956:0
1,KNeighborsClassifier,0.0,1380.0,239.0,,0.1463822091437154,0.26778242677824265,0.259,0.582,0.36,0.402,0.439,0.464,0.485,0.502,0.54,0.561,956:424
2,KNeighborsClassifier,0.0,1804.0,239.0,,0.15890457383438258,0.2594142259414226,0.247,0.531,0.356,0.385,0.431,0.448,0.473,0.485,0.51,0.519,956:848
3,KNeighborsClassifier,0.0,2228.0,239.0,,0.15844442282118648,0.2594142259414226,0.251,0.548,0.343,0.389,0.431,0.456,0.477,0.494,0.519,0.527,956:1272
4,KNeighborsClassifier,0.0,2652.0,239.0,,0.15798853246551992,0.2594142259414226,0.251,0.548,0.339,0.381,0.41,0.448,0.469,0.494,0.519,0.536,956:1696
5,KNeighborsClassifier,0.0,3076.0,239.0,,0.14286077439619707,0.2594142259414226,0.255,0.598,0.368,0.402,0.444,0.464,0.485,0.523,0.548,0.573,956:2120
6,KNeighborsClassifier,0.0,3501.0,239.0,,0.14064250060556627,0.2594142259414226,0.259,0.59,0.368,0.414,0.448,0.477,0.498,0.519,0.531,0.548,956:2545
7,KNeighborsClassifier,0.0,3925.0,239.0,,0.1285202536460415,0.25523012552301255,0.255,0.598,0.377,0.418,0.452,0.477,0.498,0.515,0.54,0.582,956:2969
8,KNeighborsClassifier,0.0,4349.0,239.0,,0.1344484846713871,0.25523012552301255,0.255,0.623,0.368,0.427,0.473,0.49,0.506,0.536,0.544,0.582,956:3393
9,KNeighborsClassifier,0.0,4773.0,239.0,,0.14095724122661502,0.2594142259414226,0.259,0.607,0.364,0.444,0.473,0.502,0.519,0.544,0.565,0.586,956:3817
10,KNeighborsClassifier,0.0,5198.0,239.0,,0.12650912334346523,0.2510460251046025,0.251,0.628,0.36,0.427,0.469,0.494,0.519,0.54,0.556,0.582,956:4242
11,KNeighborsClassifier,1.0,5198.0,239.0,,0.14263565389579067,0.2594142259414226,0.255,0.582,0.368,0.397,0.444,0.464,0.469,0.502,0.527,0.54,956:0
12,KNeighborsClassifier,1.0,1380.0,239.0,,0.1422648836382531,0.2510460251046025,0.243,0.59,0.351,0.397,0.423,0.456,0.481,0.51,0.531,0.552,956:424
13,KNeighborsClassifier,1.0,1804.0,239.0,,0.13823973869347847,0.26359832635983266,0.255,0.577,0.385,0.41,0.427,0.46,0.481,0.51,0.527,0.548,956:848
14,KNeighborsClassifier,1.0,2228.0,239.0,,0.1422648836382531,0.2510460251046025,0.243,0.569,0.347,0.406,0.423,0.452,0.481,0.506,0.519,0.544,956:1272
15,KNeighborsClassifier,1.0,2652.0,239.0,,0.148696121197522,0.26359832635983266,0.255,0.59,0.364,0.397,0.427,0.46,0.481,0.51,0.536,0.561,956:1696
16,KNeighborsClassifier,1.0,3076.0,239.0,,0.12844295126794042,0.25523012552301255,0.255,0.623,0.377,0.402,0.46,0.481,0.519,0.544,0.561,0.59,956:2120
17,KNeighborsClassifier,1.0,3501.0,239.0,,0.12844295126794042,0.25523012552301255,0.255,0.623,0.377,0.406,0.46,0.477,0.519,0.536,0.556,0.586,956:2545
18,KNeighborsClassifier,1.0,3925.0,239.0,,0.1422648836382531,0.2510460251046025,0.251,0.561,0.351,0.427,0.435,0.456,0.481,0.506,0.527,0.544,956:2969
19,KNeighborsClassifier,1.0,4349.0,239.0,,0.12837701118352188,0.25523012552301255,0.255,0.619,0.368,0.423,0.452,0.494,0.527,0.552,0.573,0.603,956:3393
20,KNeighborsClassifier,1.0,4773.0,239.0,,0.12837701118352188,0.25523012552301255,0.255,0.623,0.377,0.431,0.469,0.494,0.515,0.54,0.59,0.603,956:3817
21,KNeighborsClassifier,1.0,5198.0,239.0,,0.12837701118352188,0.25523012552301255,0.255,0.619,0.368,0.431,0.456,0.49,0.502,0.54,0.569,0.594,956:4242
,method,with Synthetic Data,Train set size,Test set size,f1_score_weighted,accuracy_score,accuracy at 1,accuracy at 10,accuracy at 2,accuracy at 3,accuracy at 4,accuracy at 5,accuracy at 6,accuracy at 7,accuracy at 8,accuracy at 9
0,DecisionTreeClassifier,0.0,4349.0,1088.0,0.5413931942397036,0.5413602941176471,0.541,0.588,0.543,0.551,0.561,0.567,0.569,0.571,0.585,0.587
1,BernoulliNB,0.0,4349.0,1088.0,0.5353417030683145,0.5303308823529411,0.53,0.577,0.532,0.54,0.546,0.554,0.556,0.559,0.571,0.574
2,GaussianNB,0.0,4349.0,1088.0,0.5422711268130754,0.5349264705882353,0.535,0.583,0.537,0.546,0.551,0.56,0.561,0.563,0.574,0.58
3,KNeighborsClassifier,0.0,4349.0,1088.0,0.22526447899757845,0.33639705882352944,0.336,0.701,0.457,0.53,0.574,0.606,0.631,0.656,0.671,0.688
4,DecisionTreeClassifier,1.0,4349.0,1088.0,0.5215549024739728,0.5183823529411765,0.518,0.563,0.519,0.526,0.535,0.541,0.543,0.544,0.559,0.562
5,BernoulliNB,1.0,4349.0,1088.0,0.528596251070044,0.5266544117647058,0.527,0.569,0.528,0.532,0.543,0.55,0.551,0.551,0.563,0.566
6,GaussianNB,1.0,4349.0,1088.0,0.5142641439801081,0.5137867647058824,0.514,0.558,0.516,0.521,0.531,0.539,0.54,0.54,0.553,0.556
7,KNeighborsClassifier,1.0,4349.0,1088.0,0.22937084541009256,0.33731617647058826,0.334,0.692,0.458,0.538,0.577,0.609,0.631,0.648,0.665,0.68
